id,track_id,genre_allmusic,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,density,baseline_ranking,baseline_score
1,2cX2coZS1PYBfPs8wgbdWE,pop-rock,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",79,,17,Bee Gees,https://i.scdn.co/image/ab67616d00001e02324045726c4b0deb6cb7c875,https://open.spotify.com/track/2cX2coZS1PYBfPs8wgbdWE,0.175,0.601,196213,0.703,8.4e-05,7,0.571,-6.24,0.0379,106.164,4,0.673,19.36528286,862,3985
2,77oU2rjC5XbjQfNe3bD6so,pop-rock,Beast Of Burden - Remastered,75,,9,The Rolling Stones,https://i.scdn.co/image/ab67616d00001e0205c7aec05eabf142cc33b936,https://open.spotify.com/track/77oU2rjC5XbjQfNe3bD6so,0.39,0.783,265173,0.878,0.000778,1,0.0426,-3.864,0.0308,100.626,4,0.885,3.247493243,2816,2031
3,1ynmMEK1fkyiZ6Z6F3ThEt,pop-rock,Centerfold,74,,3,The J. Geils Band,https://i.scdn.co/image/ab67616d00001e0238b2429ef948e6ca8d3ab599,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt,0.249,0.653,216533,0.677,0,0,0.403,-12.244,0.0396,114.37,4,0.888,19.30405677,865,3982
4,3TW48DvQ7ChwY1Yy1tkMaP,pop-rock,Runaway Train,72,https://p.scdn.co/mp3-preview/7ff6d58eb9792c6877a57a82bcf6611614d8092f?cid=9fdb4c15be18472b830ea3f6f9779309,3,Soul Asylum,https://i.scdn.co/image/ab67616d00001e02a1b5db0138571e123e6c5894,https://open.spotify.com/track/3TW48DvQ7ChwY1Yy1tkMaP,0.0132,0.613,265867,0.72,0,0,0.104,-7.957,0.0425,117.341,4,0.561,18.64502102,897,3950
5,2JuasWPUodaUxf5nwNpciQ,pop-rock,Nutshell,71,https://p.scdn.co/mp3-preview/6e3ea9b236672f69ab09b3a3fd719d9e10075d36?cid=9fdb4c15be18472b830ea3f6f9779309,2,Alice In Chains,https://i.scdn.co/image/ab67616d00001e02d09297cae57def4d8adc0749,https://open.spotify.com/track/2JuasWPUodaUxf5nwNpciQ,0.373,0.384,259200,0.561,0.253,3,0.0775,-10.059,0.0296,136.136,3,0.159,1.943766474,3422,1425
6,3qLZ866ZfaK0B0R5FIqXLG,pop-rock,She Sells Sanctuary,71,https://p.scdn.co/mp3-preview/64db1e784b82d7ae4d118cb548651e8d7e9407b7?cid=9fdb4c15be18472b830ea3f6f9779309,9,The Cult,https://i.scdn.co/image/ab67616d00001e0283803df78b7dd21d4fed27e4,https://open.spotify.com/track/3qLZ866ZfaK0B0R5FIqXLG,4.76e-06,0.55,252533,0.765,0.873,7,0.132,-8.684,0.0287,139.46,4,0.419,144.2120256,254,4593
7,6ldwfK0yWgTAlmIfuQkTYN,pop-rock,I'm a Slave 4 U,73,https://p.scdn.co/mp3-preview/b6cfd276763da64a89c73196257a091eb0a331a5?cid=9fdb4c15be18472b830ea3f6f9779309,1,Britney Spears,https://i.scdn.co/image/ab67616d00001e02e1a4e01cb7a1ecff468bbead,https://open.spotify.com/track/6ldwfK0yWgTAlmIfuQkTYN,0.415,0.847,203600,0.843,0.000134,5,0.107,-3.579,0.106,110.027,4,0.963,3.761015186,2625,2222
8,1oYYd2gnWZYrt89EBXdFiO,pop-rock,Message In A Bottle,76,,1,The Police,https://i.scdn.co/image/ab67616d00001e028ec81cc654b45ade8bdf1486,https://open.spotify.com/track/1oYYd2gnWZYrt89EBXdFiO,0.0338,0.577,290280,0.808,1.33e-05,1,0.221,-7.04,0.039,151.008,4,0.869,21.44043555,767,4080
9,0wJoRiX5K5BxlqZTolB2LD,pop-rock,Purple Haze,73,https://p.scdn.co/mp3-preview/03bc9eb9c20f832c8341a3db4173d7036d93156e?cid=9fdb4c15be18472b830ea3f6f9779309,1,Jimi Hendrix,https://i.scdn.co/image/ab67616d00001e02c9adfbd773852e286faed040,https://open.spotify.com/track/0wJoRiX5K5BxlqZTolB2LD,0.00876,0.533,170813,0.905,0.578,2,0.0698,-5.27,0.0754,108.9,4,0.486,13.3656485,1191,3656
10,3MODES4TNtygekLl146Dxd,pop-rock,Ramble On - 1990 Remaster,72,https://p.scdn.co/mp3-preview/83383aceb01ea27b0bffdedfaebe55e29b33aca2?cid=9fdb4c15be18472b830ea3f6f9779309,7,Led Zeppelin,https://i.scdn.co/image/ab67616d00001e02fc4f17340773c6c3579fea0d,https://open.spotify.com/track/3MODES4TNtygekLl146Dxd,0.072,0.468,263333,0.607,0.000852,9,0.225,-11.367,0.0336,98.429,4,0.886,8.623594407,1613,3234
11,2d7C38EFmRjhBoDVQlkBwq,classical,"Requiem in D Minor, K. 626: 3. Sequentia: Dies irae - Live",46,,3,Wolfgang Amadeus Mozart,https://i.scdn.co/image/ab67616d00001e02294e552253536ac3ff9361fb,https://open.spotify.com/track/2d7C38EFmRjhBoDVQlkBwq,0.934,0.46,119000,0.387,0.279,7,0.48,-13.384,0.0311,72.376,4,0.513,7.68764185,2575,926
12,3YMuw3U3COu7916J4H7psf,classical,"Bassoon Concerto in B-Flat Major, K. 191: II. Andante ma adagio - Cadenza: Dietmar Zeman",42,,8,Wolfgang Amadeus Mozart,https://i.scdn.co/image/ab67616d00001e0269b4fa4443a228d9b78c484d,https://open.spotify.com/track/3YMuw3U3COu7916J4H7psf,0.99,0.137,459000,0.0223,0.904,5,0.0902,-28.639,0.0399,68.914,4,0.0666,1112.230131,672,2829
13,7uf3aFC1msj0t5cYImgOWy,classical,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",54,https://p.scdn.co/mp3-preview/81b91962e8426e8a433d854b6c083a1205bbbad1?cid=9fdb4c15be18472b830ea3f6f9779309,11,Pyotr Ilyich Tchaikovsky,https://i.scdn.co/image/ab67616d00001e028a5ff5fdabe5dcf86777bde4,https://open.spotify.com/track/7uf3aFC1msj0t5cYImgOWy,0.925,0.241,209373,0.122,0.66,7,0.126,-22.411,0.0497,66.325,4,0.187,59.96761182,1938,1563
14,5Pl2CXDkaP6WEnJ0bpKGOm,classical,"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",58,,5,Johann Sebastian Bach,https://i.scdn.co/image/ab67616d00001e02369f6761d1cccba9a34f05cf,https://open.spotify.com/track/5Pl2CXDkaP6WEnJ0bpKGOm,0.992,0.384,326520,0.0414,0.897,11,0.0684,-23.019,0.0378,71.224,4,0.0618,865.4244028,724,2777
