subject,rating_col,rating,song_id,genre_allmusic,trackname,danceability,valence,energy,acousticness,instrumentalness,speechiness,liveness,tempo,loudness,density,like_label,danceability_like,valence_like,energy_like,acousticness_like,instrumentalness_like,speechiness_like,liveness_like,tempo_like,loudness_like,density_like,preferred_genre
S105,s2r,3.0,2,pop-rock,Beast Of Burden - Remastered,0.783,0.885,0.878,0.39,0.000778,0.0308,0.0426,100.626,-3.864,3.247493243,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s1r,5.0,1,pop-rock,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",0.601,0.673,0.703,0.175,8.4e-05,0.0379,0.571,106.164,-6.24,19.36528286,like,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s30r,3.0,30,country,I'm Alright,0.676,0.591,0.733,0.191,0.0,0.0294,0.192,98.234,-7.745,10.10065238,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s21r,3.0,21,country,Blue Eyes Crying In the Rain,0.626,0.418,0.04,0.928,0.00178,0.0405,0.11,117.136,-19.994,2.241434191,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s57r,5.0,57,rnb,A Teenager In Love,0.555,0.619,0.377,0.671,0.0,0.0295,0.128,78.986,-9.123,10.0993002,like,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s50r,1.0,50,rap,You Know How We Do It - Remastered,0.747,0.601,0.52,0.0977,0.0537,0.0357,0.142,92.869,-10.523,25.36096214,dislike,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s20r,5.0,20,classical,Epilogue,0.19,0.0786,0.0739,0.975,0.11,0.0333,0.0725,99.994,-21.4,149.1726129,like,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s6r,4.0,6,pop-rock,She Sells Sanctuary,0.55,0.419,0.765,4.76e-06,0.873,0.0287,0.132,139.46,-8.684,144.2120256,like,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s55r,3.0,55,rnb,Have You Ever,0.698,0.275,0.533,0.542,0.0,0.0437,0.333,134.001,-6.246,0.446350742,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s26r,4.0,26,country,Aw Naw,0.652,0.491,0.859,0.0639,0.0,0.0358,0.0777,109.971,-3.746,2.987504699,like,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s36r,2.0,36,electronic,Jóga,0.226,0.228,0.699,0.403,5.65e-05,0.065,0.0797,145.852,-6.327,0.054892393,dislike,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s49r,2.0,49,rap,"Young, Wild & Free (feat. Bruno Mars)",0.553,0.551,0.652,0.0897,0.0,0.206,0.111,94.505,-6.685,1.198655446,dislike,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s22r,3.0,22,country,Babe,0.535,0.664,0.777,0.0187,1.62e-06,0.207,0.136,171.72,-3.292,8.649252465,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s12r,3.0,12,classical,"Bassoon Concerto in B-Flat Major, K. 191: II. Andante ma adagio - Cadenza: Dietmar Zeman",0.137,0.0666,0.0223,0.99,0.904,0.0399,0.0902,68.914,-28.639,1112.230131,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S105,s33r,3.0,33,electronic,Arguru 2k19,0.702,0.284,0.603,0.0253,0.802,0.0519,0.118,128.0,-7.532,16.6168163,neutral,0.5096,0.45612,0.55558,0.376980952,0.19661679999999998,0.03304,0.19624,106.915,-9.8386,65.1673452518,pop-rock
S106,s38r,3.0,38,electronic,IZ-US,0.581,0.315,0.459,0.0398,0.881,0.0314,0.151,119.042,-14.519,4.226005274,neutral,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s10r,5.0,10,pop-rock,Ramble On - 1990 Remaster,0.468,0.886,0.607,0.072,0.000852,0.0336,0.225,98.429,-11.367,8.623594407,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s37r,3.0,37,electronic,Trigger,0.57,0.378,0.585,0.128,0.000105,0.251,0.111,97.285,-7.041,3.525144112,neutral,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s17r,4.0,17,classical,Gabriel's Oboe,0.233,0.0675,0.195,0.96,0.914,0.0461,0.0793,61.211,-17.202,155.821534,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s21r,4.0,21,country,Blue Eyes Crying In the Rain,0.626,0.418,0.04,0.928,0.00178,0.0405,0.11,117.136,-19.994,2.241434191,like,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
S106,s54r,2.0,54,rnb,Rockin' That Shit,0.672,0.627,0.62,0.123,0.0,0.0422,0.362,78.005,-4.865,15.84948856,dislike,0.589,0.4577,0.5242666666666667,0.38616519555555556,0.29852547777777777,0.04767777777777778,0.13916666666666666,111.059,-11.940555555555555,135.61498697277779,pop-rock
